iter	Passed	Remaining
424	1989	2692
425	1994	2686
426	1999	2682
427	2003	2678
428	2009	2674
429	2015	2671
430	2020	2667
431	2026	2664
432	2030	2658
433	2035	2654
434	2040	2650
435	2045	2645
436	2050	2642
437	2054	2636
438	2059	2632
439	2063	2626
440	2068	2621
441	2073	2617
442	2077	2611
443	2081	2606
444	2085	2600
445	2090	2597
446	2095	2591
447	2099	2586
448	2103	2581
449	2107	2576
450	2111	2570
451	2116	2565
452	2120	2560
453	2124	2555
454	2128	2549
455	2133	2545
456	2137	2540
457	2142	2534
458	2146	2529
459	2150	2524
460	2154	2519
461	2159	2515
462	2165	2511
463	2171	2507
464	2176	2503
465	2181	2499
466	2186	2495
467	2191	2490
468	2195	2486
469	2200	2481
470	2205	2477
471	2209	2472
472	2215	2468
473	2219	2463
474	2225	2459
475	2229	2454
476	2234	2449
477	2238	2444
478	2242	2439
479	2247	2434
480	2251	2429
481	2256	2425
482	2262	2421
483	2267	2417
484	2272	2412
485	2277	2408
486	2281	2403
487	2286	2399
488	2291	2395
489	2296	2390
490	2300	2384
491	2306	2381
492	2310	2375
493	2314	2370
494	2318	2365
495	2322	2359
496	2326	2354
497	2332	2351
498	2337	2347
499	2341	2341
500	2345	2336
501	2350	2331
502	2354	2326
503	2358	2321
504	2362	2315
505	2367	2311
506	2372	2307
507	2378	2303
508	2382	2298
509	2387	2293
510	2393	2289
511	2398	2285
512	2403	2281
513	2408	2277
514	2413	2272
515	2417	2267
516	2422	2263
517	2428	2259
518	2432	2254
519	2436	2249
520	2441	2244
521	2445	2239
522	2449	2234
523	2453	2228
524	2457	2223
525	2461	2218
526	2467	2214
527	2471	2209
528	2476	2204
529	2480	2199
530	2484	2194
531	2488	2189
532	2493	2184
533	2497	2179
534	2502	2175
535	2508	2171
536	2512	2166
537	2516	2161
538	2520	2156
539	2524	2150
540	2529	2145
541	2534	2141
542	2538	2136
543	2542	2131
544	2547	2126
545	2552	2122
546	2557	2117
547	2562	2113
548	2567	2108
549	2571	2104
550	2576	2099
551	2582	2095
552	2587	2091
553	2592	2087
554	2598	2083
555	2602	2078
556	2607	2073
557	2611	2068
558	2615	2063
559	2619	2058
560	2623	2053
561	2628	2048
562	2632	2043
563	2636	2038
564	2640	2033
565	2644	2027
566	2648	2022
567	2652	2017
568	2656	2012
569	2660	2007
570	2666	2003
571	2670	1998
572	2674	1993
573	2678	1988
574	2682	1983
575	2687	1978
576	2692	1973
577	2698	1969
578	2702	1964
579	2707	1960
580	2711	1955
581	2715	1950
582	2720	1945
583	2725	1941
584	2729	1936
585	2733	1931
586	2738	1926
587	2742	1921
588	2746	1916
589	2750	1911
590	2754	1906
591	2758	1901
592	2764	1897
593	2769	1892
594	2774	1888
595	2779	1884
596	2785	1880
597	2790	1875
598	2796	1871
599	2801	1867
600	2807	1863
601	2811	1858
602	2815	1853
603	2820	1848
604	2825	1844
605	2829	1839
606	2833	1834
607	2839	1830
608	2843	1825
609	2847	1820
610	2851	1815
611	2855	1810
612	2859	1805
613	2864	1800
614	2868	1795
615	2872	1790
616	2876	1785
617	2880	1780
618	2886	1776
619	2890	1771
620	2895	1767
621	2899	1762
622	2904	1757
623	2908	1752
624	2912	1747
625	2916	1742
626	2920	1737
627	2924	1732
628	2930	1728
629	2934	1723
630	2938	1718
631	2943	1713
632	2947	1708
633	2951	1703
634	2955	1699
635	2960	1694
636	2964	1689
637	2970	1685
638	2975	1680
639	2980	1676
640	2985	1672
641	2991	1667
642	2996	1663
643	3001	1659
644	3006	1654
645	3011	1650
646	3016	1645
647	3020	1640
648	3025	1636
649	3029	1631
650	3033	1626
651	3037	1621
652	3041	1616
653	3045	1611
654	3049	1606
655	3054	1601
656	3058	1596
657	3064	1592
658	3068	1587
659	3072	1582
660	3076	1577
661	3080	1572
662	3084	1568
663	3090	1563
664	3094	1558
665	3099	1554
666	3104	1549
667	3108	1544
668	3112	1539
669	3117	1535
670	3121	1530
671	3126	1526
672	3130	1521
673	3134	1516
674	3139	1511
675	3143	1506
676	3147	1501
677	3151	1496
678	3155	1491
679	3159	1486
680	3164	1482
681	3169	1477
682	3174	1473
683	3180	1469
684	3185	1464
685	3190	1460
686	3195	1456
687	3200	1451
688	3206	1447
689	3211	1442
690	3216	1438
691	3220	1433
692	3225	1429
693	3230	1424
694	3234	1419
695	3238	1414
696	3243	1410
697	3248	1405
698	3252	1400
699	3256	1395
700	3261	1391
701	3265	1386
702	3269	1381
703	3275	1377
704	3280	1372
705	3284	1367
706	3288	1362
707	3292	1357
708	3296	1353
709	3301	1348
710	3305	1343
711	3309	1338
712	3313	1333
713	3317	1329
714	3322	1324
715	3326	1319
716	3330	1314
717	3334	1309
718	3338	1304
719	3342	1299
720	3346	1295
721	3351	1290
722	3355	1285
723	3360	1281
724	3365	1276
725	3370	1272
726	3375	1267
727	3379	1262
728	3383	1257
729	3388	1253
730	3393	1248
731	3398	1244
732	3404	1240
733	3409	1235
734	3414	1231
735	3419	1226
736	3424	1222
737	3429	1217
738	3433	1212
739	3437	1207
740	3441	1202
741	3447	1198
742	3451	1193
743	3455	1189
744	3461	1184
745	3466	1180
746	3472	1175
747	3477	1171
748	3481	1166
749	3487	1162
750	3491	1157
751	3495	1152
752	3500	1148
753	3504	1143
754	3508	1138
755	3514	1134
756	3518	1129
757	3522	1124
758	3526	1119
759	3532	1115
760	3536	1110
761	3540	1105
762	3546	1101
763	3551	1097
764	3556	1092
765	3560	1087
766	3566	1083
767	3570	1078
768	3576	1074
769	3581	1069
770	3586	1065
771	3591	1060
772	3597	1056
773	3602	1051
774	3608	1047
775	3613	1042
776	3618	1038
777	3623	1033
778	3627	1029
779	3631	1024
780	3637	1019
781	3641	1015
782	3646	1010
783	3650	1005
784	3654	1000
785	3658	996
786	3662	991
787	3668	986
788	3673	982
789	3677	977
790	3682	973
791	3688	968
792	3692	963
793	3696	958
794	3700	954
795	3704	949
796	3709	944
797	3714	940
798	3719	935
799	3724	931
800	3728	926
801	3733	921
802	3737	916
803	3742	912
804	3747	907
805	3751	902
806	3755	898
807	3759	893
808	3764	888
809	3769	884
810	3774	879
811	3778	874
812	3783	870
813	3788	865
814	3793	861
815	3797	856
816	3802	851
817	3807	847
818	3812	842
819	3817	837
820	3821	833
821	3826	828
822	3832	824
823	3836	819
824	3841	814
825	3845	810
826	3850	805
827	3854	800
